NUMBER OF SCRIPLESS SHARES BASED ON INVESTOR TYPE AND CLASSIFICATION;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TOTAL SCRIPLESS
DATE;SHARE CODE;ISSUER NAME;BANK;GOVERNMENT;PRIVATE EQUITY;TRUSTEE BANK;VENTURE CAPITAL;PRIVATE BANK;EXCHANGE TRADED FUNDS;INVESTMENT MANAGER;INVESTMENT ADVISORS;BROKERAGE FIRMS;HEDGE FUND;SOVEREIGN WEALTH FUND;CAPITAL MARKET SUPPORTING INSTITUTIONS AND PROFESSIONS;COMMANDITAIRE VENNOOTSCHAP (CV) OR LIMITED PARTNERSHIP;FIRM;INVESTMENT FUND SELLING AGENT;PEER TO PEER LENDING;PERMANENT ESTABLISHMENT;SOLE PROPRIETORSHIP;CORPORATE;ASSOCIATION/SOCIAL ORGANIZATIONS;STATE OWNED ENTERPRISES;CENTRAL BANK;STATE OWNED COMPANY;DIOCESE;CONFERENCE;CONGREGATION;COOPERATIVES;INTERNATIONAL ORGANIZATION;POLITICAL PARTIES;PARTNERSHIP;EDUCATIONAL INSTITUTION;MUTUAL FUNDS (MF);SECURITIES COMPANY (SC);PENSION FUNDS (PF);FINANCIAL INSTITUTIONAL (IB);INSURANCE (IS);FOUNDATION (FD);INDIVIDUAL (ID);
31-Mar-2026;AKPI;ARGHA KARYA PRIMA INDUSTRY Tbk;270;0;10,000;0;0;0;0;0;49,600;533;0;0;100;0;0;0;0;0;0;146,212,673;0;0;0;0;0;0;0;0;0;0;0;0;17,500;80,522;34;0;4,000;0;100,889,807;247,265,039
31-Mar-2026;AKRA;AKR CORPORINDO Tbk;180,282,884;77,724,548;2,329,800;60,786,600;0;51,968,069;257,741,188;21,970,300;175,367,800;50;81,034,500;591,605,067;10,067,175;40,100;0;0;0;0;4,800;3,569,228,010;3,718,900;115,508,000;803,700;42,824,600;0;350,000;538,800;0;155,800;0;135,119,500;0;2,180,847,550;106,872,852;1,039,126,297;2,950,700;740,007,100;34,386,525;878,484,285;10,361,845,500
31-Mar-2026;AKSI;MINERAL SUMBERDAYA MANDIRI Tbk;0;0;0;0;0;0;0;0;625,944;0;0;0;100;0;0;0;0;0;0;6,467,300;0;0;0;0;0;0;0;0;0;0;0;0;0;19,800;0;0;0;0;50,425,356;57,538,500
31-Mar-2026;ALDO;ALKINDO NARATAMA Tbk;432,400;0;0;0;0;0;0;0;319,532;12;0;0;200;0;0;0;0;0;0;1,957,275,932;0;0;0;0;0;0;0;0;0;0;0;0;0;82;0;0;0;0;742,685,586;2,700,713,744
31-Mar-2026;ALII;ANCARA LOGISTICS INDONESIA Tbk;8,450,700;0;79,500;0;0;0;0;0;8,028,400;0;0;0;0;0;0;0;0;0;0;12,316,440,250;0;0;0;0;0;0;0;0;0;0;0;0;2,602,297,940;2,612,100;0;0;0;0;887,891,110;15,825,800,000
31-Mar-2026;ALKA;ALAKASA INDUSTRINDO Tbk;89,500;0;0;0;0;0;0;0;14,550,800;2,500;0;0;100;0;0;0;0;0;0;5,000;0;0;0;0;0;0;0;0;0;0;0;0;0;21,300;0;0;0;0;52,083,128;66,752,328
31-Mar-2026;ALMI;ALUMINDO LIGHT METAL INDUSTRY Tbk;0;0;0;0;0;0;0;0;74,044,336;0;0;0;12,700;0;0;0;0;0;0;55,828,004;0;0;0;0;0;0;0;0;0;0;0;0;0;1,886,500;0;0;0;0;47,732,200;179,503,740
31-Mar-2026;ALTO;TRI BANYAN TIRTA Tbk;0;0;0;0;750;7,560,000;0;0;0;0;0;0;100;0;0;0;0;0;0;1,222,406,827;0;0;0;149,437,339;0;0;0;0;0;0;0;0;0;235,138,018;0;0;0;0;577,076,024;2,191,619,058
31-Mar-2026;AMAG;ASURANSI MULTI ARTHA GUNA Tbk;390,691,000;0;0;0;0;0;0;13,008,500;75,400;100,000;0;0;47,000;0;0;0;0;0;0;197,168,521;0;0;0;0;0;0;0;0;0;0;0;0;2,066,800;89,074,000;210,019,533;0;55,806,100;0;42,186,496;1,000,243,350
31-Mar-2026;AMAN;MAKMUR BERKAH AMANDA Tbk;3,857,600;0;0;0;0;0;0;0;5,157,600;0;0;0;100;0;0;0;0;0;0;3,207,900;0;0;0;0;0;0;0;0;0;0;0;0;0;1,699,000;0;0;0;0;571,077,800;585,000,000
